task_id,amount_due,days_overdue,risk_score,customer_segment,entry_date
T1050,386.5,315,591,Retail,2025-01-27
T1971,260.43,315,341,SME,2025-01-27
T2304,41.05,315,486,Retail,2025-01-27
T2720,650.36,315,826,Corporate,2025-01-27
T3853,61.16,315,591,Retail,2025-01-27
T3990,276.53,315,417,SME,2025-01-27
T0181,193.87,314,547,SME,2025-01-28
T0865,250.18,314,563,Retail,2025-01-28
T1124,490.75,314,542,Corporate,2025-01-28
T1230,207.65,314,761,SME,2025-01-28
T1326,479.23,314,689,Retail,2025-01-28
T1345,87.59,314,535,Corporate,2025-01-28
T2309,217.03,314,709,Retail,2025-01-28
T3273,357.83,314,787,SME,2025-01-28
T3394,62.82,314,420,Corporate,2025-01-28
T3545,67.15,314,821,Retail,2025-01-28
T3586,78.56,314,745,SME,2025-01-28
T1138,48.69,313,763,Corporate,2025-01-29
T1179,562.93,313,544,SME,2025-01-29
T1191,303.14,313,486,SME,2025-01-29
T2073,1202.34,313,632,SME,2025-01-29
T3379,339.64,313,461,Retail,2025-01-29
T3685,183.05,313,492,Corporate,2025-01-29
T3732,479.61,313,603,Retail,2025-01-29
T0655,540.22,312,441,Retail,2025-01-30
T0910,357.9,312,630,Corporate,2025-01-30
T1901,93.28,312,502,Retail,2025-01-30
T2132,31.38,312,560,SME,2025-01-30
T3275,113.23,312,709,Corporate,2025-01-30
T3554,153.61,312,752,Retail,2025-01-30
T3901,152.3,312,543,Corporate,2025-01-30
T0176,26.3,311,737,Corporate,2025-01-31
T0747,210.83,311,658,SME,2025-01-31
T1541,1374.29,311,311,Retail,2025-01-31
T1794,579.91,311,521,Retail,2025-01-31
T2749,194.74,311,706,SME,2025-01-31
T4633,385.71,311,338,SME,2025-01-31
T4981,141.05,311,664,SME,2025-01-31
T0036,1293.76,310,724,Corporate,2025-02-01
T0519,113.74,310,452,SME,2025-02-01
T0921,213.68,310,605,Corporate,2025-02-01
T1293,10.0,310,357,Retail,2025-02-01
T2188,384.27,310,378,Corporate,2025-02-01
T4956,188.84,310,527,SME,2025-02-01
T0182,260.92,308,601,Corporate,2025-02-03
T0501,395.25,308,826,Retail,2025-02-03
T0904,122.49,308,499,Corporate,2025-02-03
T1164,526.03,308,551,Corporate,2025-02-03
T1307,3522.43,308,544,Retail,2025-02-03
T1671,1674.67,308,773,SME,2025-02-03
T2308,644.21,308,471,Retail,2025-02-03
T2358,374.7,308,433,SME,2025-02-03
T2748,195.91,308,609,Corporate,2025-02-03
T2790,203.26,308,348,Retail,2025-02-03
T3279,442.02,308,666,Retail,2025-02-03
T3314,159.91,308,363,Corporate,2025-02-03
T3801,249.64,308,834,SME,2025-02-03
T3850,91.67,308,810,SME,2025-02-03
T4638,128.52,308,460,Corporate,2025-02-03
T4870,1158.59,308,626,Corporate,2025-02-03
T0059,33.78,307,530,Retail,2025-02-04
T0226,129.34,307,422,Retail,2025-02-04
T0490,43.4,307,499,SME,2025-02-04
T1240,1535.03,307,300,SME,2025-02-04
T1313,151.46,307,564,SME,2025-02-04
T1685,640.66,307,839,Retail,2025-02-04
T3300,212.54,307,509,Corporate,2025-02-04
T3528,94.92,307,674,Corporate,2025-02-04
T3765,67.69,307,425,SME,2025-02-04
T3858,520.1,307,575,Retail,2025-02-04
T3948,53.0,307,832,SME,2025-02-04
T4107,2202.8,307,810,SME,2025-02-04
T4208,203.18,307,650,Corporate,2025-02-04
T4729,586.54,307,641,SME,2025-02-04
T4907,416.25,307,605,Corporate,2025-02-04
T4990,135.35,307,537,Retail,2025-02-04
T0363,944.69,306,663,SME,2025-02-05
T0963,20.84,306,549,Retail,2025-02-05
T1439,1778.69,306,759,SME,2025-02-05
T1717,285.11,306,341,Corporate,2025-02-05
T1757,63.53,306,447,SME,2025-02-05
T2094,31.67,306,307,Retail,2025-02-05
T2256,795.85,306,722,Corporate,2025-02-05
T2830,159.25,306,305,SME,2025-02-05
T4734,183.52,306,373,Corporate,2025-02-05
T0238,72.48,305,619,SME,2025-02-06
T0377,283.42,305,811,Retail,2025-02-06
T0405,382.75,305,702,Corporate,2025-02-06
T1085,1133.43,305,581,Corporate,2025-02-06
T2174,212.31,305,334,Retail,2025-02-06
T2667,815.73,305,584,SME,2025-02-06
T2728,617.24,305,361,Corporate,2025-02-06
T3980,24.41,305,849,Corporate,2025-02-06
T4280,581.65,305,746,SME,2025-02-06
T4284,581.3,305,443,Retail,2025-02-06
T4985,809.66,305,762,SME,2025-02-06
T0225,514.12,304,596,Corporate,2025-02-07
T0848,18.75,304,781,SME,2025-02-07
T2497,295.04,304,406,SME,2025-02-07
T4567,211.13,304,355,SME,2025-02-07
T1356,279.02,301,436,Corporate,2025-02-10
T2122,268.92,301,533,SME,2025-02-10
T2453,830.0,301,600,Retail,2025-02-10
T2535,72.95,301,773,SME,2025-02-10
T2671,101.96,301,370,Retail,2025-02-10
T3553,680.65,301,699,Retail,2025-02-10
T3562,54.43,301,797,Corporate,2025-02-10
T3699,226.49,301,742,Corporate,2025-02-10
T3998,113.17,301,542,SME,2025-02-10
T4232,290.15,301,433,Corporate,2025-02-10
T4278,35.05,301,317,Corporate,2025-02-10
T4454,84.5,301,501,Retail,2025-02-10
T4815,78.34,301,751,Retail,2025-02-10
T0039,110.9,300,550,Corporate,2025-02-11
T0191,495.84,300,520,Retail,2025-02-11
T0592,419.42,300,461,Corporate,2025-02-11
T0868,1738.44,300,771,SME,2025-02-11
T1193,215.88,300,469,Corporate,2025-02-11
T1914,125.1,300,383,Corporate,2025-02-11
T1955,77.9,300,477,Corporate,2025-02-11
T2220,183.17,300,688,SME,2025-02-11
T2544,429.01,300,347,Retail,2025-02-11
T2877,166.09,300,728,SME,2025-02-11
T2900,364.78,300,740,SME,2025-02-11
T3378,115.16,300,728,SME,2025-02-11
T3700,2629.28,300,717,Retail,2025-02-11
T3849,292.71,300,328,Retail,2025-02-11
T3869,231.65,300,516,SME,2025-02-11
T3884,338.0,300,690,SME,2025-02-11
T4263,202.5,300,763,Corporate,2025-02-11
T4842,243.74,300,829,Corporate,2025-02-11
T4918,335.27,300,826,Retail,2025-02-11
T4982,3535.73,300,426,Corporate,2025-02-11
T0709,90.44,299,493,Corporate,2025-02-12
T2492,577.06,299,738,Retail,2025-02-12
T2796,3205.91,299,654,SME,2025-02-12
T3340,390.93,299,527,Corporate,2025-02-12
T4226,178.94,299,400,Corporate,2025-02-12
T4541,1105.53,299,390,Retail,2025-02-12
T4612,382.36,299,309,SME,2025-02-12
T4636,580.6,299,564,Corporate,2025-02-12
T0349,286.5,298,536,SME,2025-02-13
T0419,707.63,298,498,Corporate,2025-02-13
T2915,55.85,298,402,SME,2025-02-13
T3055,612.64,298,805,SME,2025-02-13
T3453,445.04,298,712,Corporate,2025-02-13
T3634,1539.03,298,346,Corporate,2025-02-13
T3900,731.6,298,469,Retail,2025-02-13
T4100,68.51,298,744,SME,2025-02-13
T4127,230.85,298,346,SME,2025-02-13
T4782,53.01,298,828,SME,2025-02-13
T0315,82.76,297,670,Corporate,2025-02-14
T0991,1432.28,297,695,Corporate,2025-02-14
T1304,494.0,297,497,Retail,2025-02-14
T1605,804.22,297,804,SME,2025-02-14
T1607,234.06,297,523,SME,2025-02-14
T1831,389.58,297,445,SME,2025-02-14
T1889,284.76,297,728,Retail,2025-02-14
T2339,558.51,297,585,Retail,2025-02-14
T2568,787.28,297,446,SME,2025-02-14
T2623,150.41,297,696,Corporate,2025-02-14
T3124,86.25,297,577,Retail,2025-02-14
T4174,143.09,297,792,SME,2025-02-14
T0507,174.26,294,837,Corporate,2025-02-17
T1210,297.36,294,392,Retail,2025-02-17
T1411,63.17,294,459,Retail,2025-02-17
T1512,273.81,294,568,Corporate,2025-02-17
T1602,287.4,294,769,Retail,2025-02-17
T2222,365.54,294,664,Corporate,2025-02-17
T3617,197.99,294,481,SME,2025-02-17
T3976,1058.14,294,381,SME,2025-02-17
T4142,222.43,294,782,Retail,2025-02-17
T4158,192.26,294,387,Retail,2025-02-17
T4251,527.23,294,798,Retail,2025-02-17
T4271,62.06,294,829,Retail,2025-02-17
T4346,1441.21,294,601,Retail,2025-02-17
T4683,2226.19,294,541,SME,2025-02-17
T4978,266.58,294,499,Retail,2025-02-17
T0595,172.92,293,327,SME,2025-02-18
T1149,86.77,293,526,Corporate,2025-02-18
T1616,751.2,293,477,Retail,2025-02-18
T1902,232.5,293,767,Retail,2025-02-18
T1951,192.35,293,728,SME,2025-02-18
T2137,221.36,293,681,Corporate,2025-02-18
T2401,34.58,293,383,Retail,2025-02-18
T2500,794.17,293,667,Corporate,2025-02-18
T2650,133.23,293,814,Corporate,2025-02-18
T3013,122.67,293,394,SME,2025-02-18
T3048,1557.41,293,484,Corporate,2025-02-18
T3400,66.4,293,309,SME,2025-02-18
T3430,1547.43,293,548,Corporate,2025-02-18
T4502,54.02,293,537,Retail,2025-02-18
T0613,418.32,292,342,SME,2025-02-19
T0750,54.92,292,771,SME,2025-02-19
T0929,322.37,292,478,SME,2025-02-19
T1679,407.76,292,403,SME,2025-02-19
T1820,247.29,292,749,Retail,2025-02-19
T1899,38.89,292,798,SME,2025-02-19
T1972,66.15,292,543,Retail,2025-02-19
T2248,71.56,292,465,Corporate,2025-02-19
T2440,369.9,292,694,SME,2025-02-19
T2617,392.1,292,712,SME,2025-02-19
T3186,64.27,292,811,SME,2025-02-19
T3212,366.79,292,784,Retail,2025-02-19
T3579,516.83,292,532,Retail,2025-02-19
T0741,489.76,291,629,Retail,2025-02-20
T1078,77.58,291,675,Corporate,2025-02-20
T1081,60.11,291,596,Retail,2025-02-20
T1497,219.23,291,342,Corporate,2025-02-20
T1586,581.85,291,757,Corporate,2025-02-20
T1888,130.21,291,362,Corporate,2025-02-20
T1937,149.7,291,740,SME,2025-02-20
T2909,2681.57,291,317,Corporate,2025-02-20
T2929,299.32,291,722,SME,2025-02-20
T3030,392.81,291,836,SME,2025-02-20
T3181,578.44,291,338,Retail,2025-02-20
T3198,35.24,291,680,Corporate,2025-02-20
T3291,414.59,291,724,Retail,2025-02-20
T3402,753.41,291,320,SME,2025-02-20
T3682,406.33,291,432,Retail,2025-02-20
T3740,72.48,291,656,Retail,2025-02-20
T4622,119.25,291,365,SME,2025-02-20
T4671,483.13,291,758,SME,2025-02-20
T4885,148.23,291,710,SME,2025-02-20
T0245,162.44,290,685,SME,2025-02-21
T0260,265.37,290,790,Corporate,2025-02-21
T1495,421.5,290,405,Corporate,2025-02-21
T2062,2904.33,290,702,Corporate,2025-02-21
T2775,389.21,290,490,Retail,2025-02-21
T3065,234.7,290,520,Retail,2025-02-21
T3156,229.59,290,478,SME,2025-02-21
T3760,205.82,290,781,Corporate,2025-02-21
T4003,84.09,290,432,Corporate,2025-02-21
T4692,82.7,290,417,Corporate,2025-02-21
T4753,252.38,290,696,Corporate,2025-02-21
T2170,61.38,289,491,SME,2025-02-22
T2232,367.68,289,415,Corporate,2025-02-22
T2774,268.41,289,359,Corporate,2025-02-22
T3409,114.08,289,651,Corporate,2025-02-22
T4272,449.01,289,639,Corporate,2025-02-22
T0265,769.72,288,712,Corporate,2025-02-23
T1689,323.84,288,609,SME,2025-02-23
T0327,740.68,287,604,SME,2025-02-24
T0367,31.36,287,422,Retail,2025-02-24
T1156,423.12,287,520,Corporate,2025-02-24
T1229,557.86,287,613,Corporate,2025-02-24
T1282,258.53,287,704,Retail,2025-02-24
T1384,490.81,287,563,Retail,2025-02-24
T1688,196.19,287,421,Retail,2025-02-24
T2292,110.91,287,759,Retail,2025-02-24
T2445,67.39,287,399,Corporate,2025-02-24
T2454,120.56,287,366,Retail,2025-02-24
T2477,156.0,287,812,SME,2025-02-24
T2687,49.98,287,413,Corporate,2025-02-24
T3188,206.67,287,628,Corporate,2025-02-24
T4325,113.65,287,360,Corporate,2025-02-24
T4592,81.2,287,832,Corporate,2025-02-24
T0477,358.85,286,491,Corporate,2025-02-25
T0874,198.3,286,577,Retail,2025-02-25
T0925,1269.49,286,755,Retail,2025-02-25
T1026,131.37,286,791,Retail,2025-02-25
T1830,173.49,286,635,Retail,2025-02-25
T2449,350.99,286,765,Corporate,2025-02-25
T2630,81.65,286,747,SME,2025-02-25
T2661,394.67,286,534,Corporate,2025-02-25
T2948,107.23,286,571,Corporate,2025-02-25
T2949,54.1,286,642,Corporate,2025-02-25
T3176,113.25,286,696,Retail,2025-02-25
T3246,32.58,286,768,Retail,2025-02-25
T3746,327.51,286,746,SME,2025-02-25
T4301,820.05,286,575,SME,2025-02-25
T4971,707.48,286,383,SME,2025-02-25
T0202,279.63,285,757,Corporate,2025-02-26
T0388,160.34,285,415,Retail,2025-02-26
T1180,130.29,285,608,Corporate,2025-02-26
T2129,410.1,285,684,SME,2025-02-26
T2437,220.81,285,344,Retail,2025-02-26
T2823,1335.27,285,543,Corporate,2025-02-26
T3608,186.48,285,756,Retail,2025-02-26
T4182,156.79,285,331,Corporate,2025-02-26
T4288,484.9,285,564,Corporate,2025-02-26
T4697,183.45,285,672,Corporate,2025-02-26
T0330,215.23,284,378,Retail,2025-02-27
T0563,1702.09,284,737,SME,2025-02-27
T1023,1946.48,284,535,SME,2025-02-27
T1201,106.64,284,623,Retail,2025-02-27
T1209,152.94,284,326,Corporate,2025-02-27
T1488,898.18,284,436,Corporate,2025-02-27
T1567,52.84,284,445,Corporate,2025-02-27
T1876,86.17,284,638,SME,2025-02-27
T1940,293.57,284,656,Corporate,2025-02-27
T2027,166.64,284,378,Retail,2025-02-27
T2233,337.77,284,615,Retail,2025-02-27
T3018,1066.04,284,434,Retail,2025-02-27
T3923,202.24,284,409,Retail,2025-02-27
T3988,213.5,284,694,SME,2025-02-27
T4191,519.88,284,780,SME,2025-02-27
T4196,425.66,284,639,Retail,2025-02-27
T4257,99.06,284,491,Corporate,2025-02-27
T4429,269.11,284,660,SME,2025-02-27
T4786,133.43,284,633,Retail,2025-02-27
T0340,179.36,283,521,Corporate,2025-02-28
T0504,126.59,283,704,Corporate,2025-02-28
T0851,139.93,283,802,Corporate,2025-02-28
T1107,84.62,283,592,Retail,2025-02-28
T1705,773.65,283,675,Corporate,2025-02-28
T2009,382.16,283,412,SME,2025-02-28
T3113,191.07,283,752,Retail,2025-02-28
T3437,146.5,283,653,SME,2025-02-28
T3449,219.06,283,377,Corporate,2025-02-28
T3881,551.14,283,569,Retail,2025-02-28
T0092,492.1,281,821,Corporate,2025-03-02
T0325,54.75,281,826,Retail,2025-03-02
T3833,1462.19,281,429,Corporate,2025-03-02
T0190,344.14,280,840,Corporate,2025-03-03
T0331,26.73,280,485,SME,2025-03-03
T0541,163.04,280,405,Retail,2025-03-03
T0737,185.94,280,421,Corporate,2025-03-03
T0790,1274.32,280,373,Retail,2025-03-03
T1017,96.63,280,493,SME,2025-03-03
T1489,433.74,280,480,SME,2025-03-03
T1686,784.93,280,376,Retail,2025-03-03
T2197,1213.27,280,300,Retail,2025-03-03
T3381,248.81,280,647,Retail,2025-03-03
T3407,209.7,280,459,Corporate,2025-03-03
T3506,100.3,280,702,Retail,2025-03-03
T3716,823.05,280,441,SME,2025-03-03
T4052,167.8,280,573,Retail,2025-03-03
T4099,299.57,280,497,Corporate,2025-03-03
T4219,130.0,280,321,Corporate,2025-03-03
T4726,239.46,280,374,SME,2025-03-03
T4944,146.77,280,431,SME,2025-03-03
T4964,871.69,280,582,SME,2025-03-03
T0055,807.68,279,505,SME,2025-03-04
T0494,46.68,279,592,Corporate,2025-03-04
T0972,234.7,279,563,Corporate,2025-03-04
T1177,305.45,279,718,Retail,2025-03-04
T1535,559.44,279,462,SME,2025-03-04
T1545,607.27,279,744,Corporate,2025-03-04
T1841,109.05,279,777,SME,2025-03-04
T2435,1552.88,279,418,SME,2025-03-04
T2517,385.56,279,813,SME,2025-03-04
T3269,185.38,279,834,Corporate,2025-03-04
T4004,170.26,279,350,SME,2025-03-04
T4430,208.91,279,706,SME,2025-03-04
T4789,169.57,279,612,Retail,2025-03-04
T4896,441.24,279,662,Corporate,2025-03-04
T0300,78.38,278,316,Corporate,2025-03-05
T0313,653.71,278,812,Corporate,2025-03-05
T0886,236.71,278,644,Retail,2025-03-05
T1007,465.95,278,592,Corporate,2025-03-05
T2952,330.62,278,377,SME,2025-03-05
T2991,119.92,278,681,Retail,2025-03-05
T3004,135.03,278,478,SME,2025-03-05
T3618,112.99,278,405,Corporate,2025-03-05
T4403,207.42,278,637,SME,2025-03-05
T0081,252.38,277,318,Retail,2025-03-06
T0113,119.07,277,377,SME,2025-03-06
T0174,168.25,277,720,Corporate,2025-03-06
T0263,71.8,277,627,Corporate,2025-03-06
T1332,489.82,277,377,SME,2025-03-06
T1816,267.77,277,376,Retail,2025-03-06
T2141,1355.34,277,702,SME,2025-03-06
T3292,168.36,277,784,Corporate,2025-03-06
T3525,195.3,277,581,Retail,2025-03-06
T3877,209.09,277,801,SME,2025-03-06
T4033,160.87,277,727,Retail,2025-03-06
T4058,756.69,277,513,Retail,2025-03-06
T0150,100.13,276,763,Corporate,2025-03-07
T1458,103.58,276,558,SME,2025-03-07
T1466,383.3,276,532,Retail,2025-03-07
T1519,102.91,276,411,SME,2025-03-07
T2113,29.53,276,321,Corporate,2025-03-07
T2718,2032.06,276,797,SME,2025-03-07
T4060,126.05,276,430,Retail,2025-03-07
T4318,32.89,276,552,Retail,2025-03-07
T4658,2671.87,276,844,SME,2025-03-07
T0230,112.54,275,331,SME,2025-03-08
T1653,557.63,274,838,SME,2025-03-09
T4279,197.45,274,534,Retail,2025-03-09
T0097,80.78,273,807,SME,2025-03-10
T0261,371.84,273,628,Corporate,2025-03-10
T0324,168.98,273,683,SME,2025-03-10
T0779,258.68,273,748,Retail,2025-03-10
T1414,1236.35,273,729,SME,2025-03-10
T1614,58.71,273,441,SME,2025-03-10
T1700,91.61,273,539,Retail,2025-03-10
T1781,1003.61,273,338,SME,2025-03-10
T2045,119.09,273,391,Retail,2025-03-10
T2924,124.37,273,818,Retail,2025-03-10
T3414,260.85,273,457,Retail,2025-03-10
T3835,472.43,273,670,Corporate,2025-03-10
T4311,435.52,273,782,Corporate,2025-03-10
T4998,611.75,273,724,SME,2025-03-10
T0291,86.74,272,795,SME,2025-03-11
T0555,74.58,272,432,Corporate,2025-03-11
T0774,1004.28,272,709,Retail,2025-03-11
T1075,129.32,272,739,Corporate,2025-03-11
T1188,261.7,272,454,Retail,2025-03-11
T1484,54.0,272,584,Retail,2025-03-11
T2161,84.13,272,506,Corporate,2025-03-11
T2506,237.45,272,517,Corporate,2025-03-11
T2745,988.47,272,801,Retail,2025-03-11
T2836,189.29,272,469,SME,2025-03-11
T2988,90.65,272,410,SME,2025-03-11
T3089,62.54,272,757,Corporate,2025-03-11
T3676,95.61,272,336,Corporate,2025-03-11
T3688,256.45,272,533,Corporate,2025-03-11
T3956,1050.87,272,300,Corporate,2025-03-11
T4037,376.04,272,619,Corporate,2025-03-11
T0525,304.5,271,639,Retail,2025-03-12
T0873,2453.24,271,396,Corporate,2025-03-12
T1068,218.35,271,360,Corporate,2025-03-12
T1166,379.96,271,753,Corporate,2025-03-12
T1353,765.47,271,826,Corporate,2025-03-12
T1432,2279.45,271,814,Retail,2025-03-12
T1596,322.09,271,335,Corporate,2025-03-12
T1977,1167.78,271,503,Corporate,2025-03-12
T2532,57.92,271,314,SME,2025-03-12
T2968,855.37,271,827,SME,2025-03-12
T3058,39.24,271,337,Corporate,2025-03-12
T3119,127.06,271,553,Corporate,2025-03-12
T3755,493.04,271,746,Retail,2025-03-12
T4101,192.4,271,604,Corporate,2025-03-12
T4557,307.64,271,404,SME,2025-03-12
T4681,134.78,271,344,SME,2025-03-12
T4972,156.65,271,470,Retail,2025-03-12
T4996,98.47,271,377,Corporate,2025-03-12
T1649,130.16,270,761,Retail,2025-03-13
T2189,280.5,270,613,Corporate,2025-03-13
T2396,250.41,270,332,Corporate,2025-03-13
T4095,161.5,270,417,SME,2025-03-13
T4504,364.12,270,512,Corporate,2025-03-13
T4740,247.64,270,469,SME,2025-03-13
T4775,570.76,270,713,Retail,2025-03-13
T0014,566.98,269,468,Retail,2025-03-14
T0345,40.78,269,365,Retail,2025-03-14
T0567,22.07,269,341,Retail,2025-03-14
T0661,1736.87,269,362,SME,2025-03-14
T0958,584.95,269,544,Corporate,2025-03-14
T1302,600.71,269,369,Corporate,2025-03-14
T2085,89.43,269,576,Corporate,2025-03-14
T2092,2002.29,269,552,SME,2025-03-14
T2442,176.55,269,435,SME,2025-03-14
T2569,76.31,269,755,Corporate,2025-03-14
T3071,487.87,269,555,Corporate,2025-03-14
T3564,60.18,269,305,SME,2025-03-14
T4632,123.46,269,593,Retail,2025-03-14
T2110,29.31,268,309,Corporate,2025-03-15
T4564,55.91,268,627,Corporate,2025-03-15
T0072,92.78,266,492,Retail,2025-03-17
T0224,101.58,266,358,Retail,2025-03-17
T0437,120.67,266,355,SME,2025-03-17
T0585,91.43,266,701,Retail,2025-03-17
T0700,238.35,266,313,SME,2025-03-17
T1559,378.42,266,816,Retail,2025-03-17
T1927,158.43,266,327,SME,2025-03-17
T1934,1342.76,266,557,Retail,2025-03-17
T2140,207.35,266,455,Corporate,2025-03-17
T2199,214.91,266,757,Corporate,2025-03-17
T2225,227.94,266,531,SME,2025-03-17
T2317,109.23,266,396,Retail,2025-03-17
T2933,827.18,266,702,Corporate,2025-03-17
T3142,363.13,266,679,Corporate,2025-03-17
